Date,PlanningType,Company,store,Brand Code,Budget Sales Amount,Budget Margin Amount,Budget Cost Amount,FashionCOGS
14/11/2022,BUDGET,cocouae,C555,coco,123329.6681,68187.61741,55102.54417,44612.49493
27/11/2022,BUDGET,cocouae,C555,coco,123328.9323,68180.61126,55099.17467,44619.65924
28/11/2022,BUDGET,cocouae,C555,coco,123294.7277,68195.05181,55108.04349,44632.38917
12/12/2022,BUDGET,cocouae,C555,coco,145147.1488,79571.91587,65510.73462,53179.69683
15/12/2022,BUDGET,cocouae,C555,coco,145156.3701,79602.39269,65539.40601,53205.46172
29/12/2022,BUDGET,cocouae,C555,coco,145161.0275,79565.39042,65541.01226,53207.52642
30/12/2022,BUDGET,cocouae,C555,coco,145125.5992,79587.16767,65546.88436,53191.5966
04/09/2022,BUDGET,cocouae,C555,coco,79976.88677,44940.95507,35016.5976,28227.26727
05/09/2022,BUDGET,cocouae,C555,coco,79963.58992,44919.80203,35016.08138,28222.6335
19/09/2022,BUDGET,cocouae,C555,coco,79971.38201,44947.37041,35009.65941,28235.21648
22/09/2022,BUDGET,cocouae,C555,coco,79995.46008,44953.09299,34998.05195,28204.92398
23/09/2022,BUDGET,cocouae,C555,coco,79974.00415,44935.39133,35035.92009,28225.17862
06/10/2022,BUDGET,cocouae,C555,coco,99990.72375,54611.25268,45332.7838,36860.45511
07/10/2022,BUDGET,cocouae,C555,coco,99953.49244,54608.13185,45341.21529,36863.35253
16/11/2022,BUDGET,cocouae,C555,coco,123307.6243,68173.80824,55119.05121,44624.46142
09/12/2022,BUDGET,cocouae,C555,coco,145111.6406,79573.45074,65506.61936,53199.58894
11/12/2022,BUDGET,cocouae,C555,coco,145148.2121,79607.35162,65510.70089,53162.90384
16/12/2022,BUDGET,cocouae,C555,coco,145136.7843,79587.1422,65532.27407,53182.10408
18/12/2022,BUDGET,cocouae,C555,coco,145155.7483,79593.68397,65527.84226,53199.98507
23/11/2022,BUDGET,cocouae,C555,coco,123303.7124,68154.09602,55099.13584,44617.60617
30/11/2022,BUDGET,cocouae,C555,coco,123293.9869,68179.20803,55121.11197,44616.51434
02/12/2022,BUDGET,cocouae,C555,coco,145154.6334,79596.75162,65544.2334,53172.04397
25/12/2022,BUDGET,cocouae,C555,coco,145155.9781,79561.75341,65541.97048,53203.08341
27/12/2022,BUDGET,cocouae,C555,coco,145147.4728,79588.68222,65542.62126,53186.15801
10/10/2022,BUDGET,cocouae,C555,coco,99994.13597,54605.17552,45369.98647,36839.50967
21/10/2022,BUDGET,cocouae,C555,coco,99966.81374,54591.4971,45377.04436,36849.35142
28/10/2022,BUDGET,cocouae,C555,coco,99962.73803,54587.56856,45342.39565,36855.11944
04/11/2022,BUDGET,cocouae,C555,coco,123293.795,68189.74754,55134.38782,44607.91684
15/11/2022,BUDGET,cocouae,C555,coco,123295.9741,68186.40291,55101.77913,44617.08109
24/10/2022,BUDGET,cocouae,C555,coco,99976.86811,54592.66736,45338.67632,36862.69113
25/10/2022,BUDGET,cocouae,C555,coco,99967.34138,54585.17492,45367.98098,36880.6866
08/11/2022,BUDGET,cocouae,C555,coco,123318.2656,68153.31838,55095.32135,44652.39458
11/11/2022,BUDGET,cocouae,C555,coco,123299.1742,68152.30501,55111.5453,44614.17304
12/11/2022,BUDGET,cocouae,C555,coco,123324.0102,68157.98327,55115.79898,44633.40437
22/11/2022,BUDGET,cocouae,C555,coco,123322.3828,68151.7293,55112.08508,44645.67978
29/11/2022,BUDGET,cocouae,C555,coco,123304.84,68149.564,55128.62525,44629.31447
03/12/2022,BUDGET,cocouae,C555,coco,145137.9785,79584.00786,65547.35887,53210.6417
10/12/2022,BUDGET,cocouae,C555,coco,145150.1184,79610.03279,65507.71783,53203.79271
17/12/2022,BUDGET,cocouae,C555,coco,145131.2547,79579.42914,65513.55963,53204.73822
24/12/2022,BUDGET,cocouae,C555,coco,145158.8867,79561.85074,65519.52304,53190.74432
28/12/2022,BUDGET,cocouae,C555,coco,145133.5237,79598.44237,65521.69788,53173.68464
25/11/2022,BUDGET,cocouae,C555,coco,123306.9067,68190.32528,55094.45906,44611.41114
26/11/2022,BUDGET,cocouae,C555,coco,123290.5671,68169.17666,55126.39589,44623.21413
13/12/2022,BUDGET,cocouae,C555,coco,145138.5313,79597.51411,65539.26286,53189.99203
14/12/2022,BUDGET,cocouae,C555,coco,145144.4156,79579.00491,65514.71945,53168.91734
31/12/2022,BUDGET,cocouae,C555,coco,145120.0107,79593.04078,65510.61088,53177.19055
